service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ASCESC-2-127,1,1,1,1,1,1,1,20240805,20250620
EL_BL-2-31,1,1,1,1,1,0,0,20231023,20240830
EL_BL-2-31$EL_JA-2-31,1,1,1,1,1,0,0,20231023,20240830
EL_JA2-2-63,1,1,1,1,1,1,0,20240708,20240824
EL_JA-2-31,1,1,1,1,1,0,0,20231226,20240824
EL_JA-2-32$EL_MV-2-32,0,0,0,0,0,1,0,20230909,20240831
EL_JA-2-63,1,1,1,1,1,1,0,20231226,20240824
EL_MV-2-32,0,0,0,0,0,1,0,20230909,20240831
EL_VE-2-127,1,1,1,1,1,1,1,20230910,20240901
ETE_BL-2-24,0,0,0,1,1,0,0,20240624,20240830
ETE_BL-2-31,1,1,1,1,1,0,0,20240624,20240830
ETE_JA-2-31,1,1,1,1,1,0,0,20240708,20240823
ETE_MV-2-32,0,0,0,0,0,1,0,20240629,20240831
ETE_VE-2-127,1,1,1,1,1,1,1,20240630,20240901
F1_FNA-2-56,0,0,0,1,1,1,0,20240829,20240831
HANGA-2-27,1,1,0,1,1,0,0,20220901,20250705
HANGA-2-31,1,1,1,1,1,0,0,20220901,20250705
HANGA-2-4,0,0,1,0,0,0,0,20220901,20250705
HANGA-2-63,1,1,1,1,1,1,0,20220901,20250705
HT22_J-2-31,1,1,1,1,1,0,0,20240812,20240823
HT22_M-2-32,0,0,0,0,0,1,0,20240629,20240831
HTF8_J-2-127,1,1,1,1,1,1,1,20240731,20240823
HTF8_J-2-24,0,0,0,1,1,0,0,20240731,20240823
HTF8_J-2-31,1,1,1,1,1,0,0,20240731,20240823
HTF8_M-2-32,0,0,0,0,0,1,0,20240629,20240831
HTF8_V-2-127,1,1,1,1,1,1,1,20240630,20240901
HTX_BL-2-24,0,0,0,1,1,0,0,20250210,20250530
HTX_BL-2-31,1,1,1,1,1,0,0,20250210,20250530
HTX_MV-2-32,0,0,0,0,0,1,0,20250201,20250621
HTX_RO-2-24,0,0,0,1,1,0,0,20250127,20250620
HTX_RO-2-31,1,1,1,1,1,0,0,20250127,20250620
HTX_VE-2-127,1,1,1,1,1,1,1,20250202,20250622
I26_JA-2-63,1,1,1,1,1,1,0,20240809,20240824
I30_JA-2-63,1,1,1,1,1,1,0,20240809,20240824
